question,answer,wrong1,wrong2,difficulty,type
2 × 4 =,8,16,0,3,multiplication
97 + 54 =,151,158,144,4,addition
98 - 26 =,72,81,63,2,subtraction
80 - 72 =,8,13,3,4,subtraction
73 - 25 =,48,51,45,3,subtraction
55 - 51 =,4,13,-5,3,subtraction
66 - 7 =,59,62,56,4,subtraction
80 - 51 =,29,36,22,3,subtraction
8 × 4 =,32,36,28,2,multiplication
68 - 59 =,9,17,1,2,subtraction
49 + 10 =,59,69,49,4,addition
61 - 45 =,16,24,8,4,subtraction
68 - 41 =,27,34,20,4,subtraction
47 - 35 =,12,20,4,2,subtraction
97 - 30 =,67,77,57,3,subtraction
17 - 10 =,7,16,-2,2,subtraction
9 ÷ 3 =,3,8,-2,3,division
78 + 54 =,132,138,126,2,addition
47 - 35 =,12,17,7,2,subtraction
1 × 8 =,8,18,-2,2,multiplication
95 - 6 =,89,99,79,2,subtraction
89 - 45 =,44,54,34,3,subtraction
39 - 0 =,39,48,30,3,subtraction
87 + 57 =,144,152,136,2,addition
36 + 96 =,132,135,129,3,addition
8 × 8 =,64,70,58,3,multiplication
33 ÷ 11 =,3,8,-2,3,division
53 + 4 =,57,60,54,4,addition
98 - 80 =,18,21,15,3,subtraction
32 + 64 =,96,99,93,4,addition
8 - 5 =,3,10,-4,4,subtraction
99 - 7 =,92,99,85,2,subtraction
88 + 20 =,108,116,100,4,addition
63 - 50 =,13,18,8,4,subtraction
36 + 25 =,61,64,58,4,addition
24 ÷ 2 =,12,21,3,4,division
9 + 20 =,29,38,20,3,addition
3 × 7 =,21,31,11,4,multiplication
35 - 0 =,35,40,30,4,subtraction
4 × 4 =,16,25,7,4,multiplication
25 - 3 =,22,26,18,2,subtraction
81 ÷ 9 =,9,18,0,3,division
92 - 3 =,89,92,86,4,subtraction
78 - 35 =,43,49,37,4,subtraction
79 - 21 =,58,61,55,3,subtraction
42 + 35 =,77,80,74,3,addition
88 - 66 =,22,26,18,3,subtraction
93 - 88 =,5,10,0,3,subtraction
71 + 64 =,135,145,125,3,addition
43 - 30 =,13,18,8,2,subtraction
132 ÷ 11 =,12,22,2,2,division
43 + 87 =,130,139,121,2,addition
76 - 58 =,18,24,12,2,subtraction
9 + 84 =,93,103,83,2,addition
66 - 12 =,54,57,51,4,subtraction
89 - 81 =,8,12,4,3,subtraction
83 - 44 =,39,49,29,2,subtraction
90 + 33 =,123,133,113,3,addition
95 + 35 =,130,134,126,4,addition
81 + 93 =,174,177,171,2,addition
65 + 71 =,136,139,133,2,addition
13 + 8 =,21,26,16,2,addition
90 ÷ 10 =,9,17,1,2,division
20 + 52 =,72,78,66,4,addition
65 - 10 =,55,61,49,4,subtraction
5 × 4 =,20,23,17,4,multiplication
99 + 34 =,133,138,128,2,addition
86 - 27 =,59,67,51,3,subtraction
52 - 20 =,32,42,22,4,subtraction
21 - 19 =,2,6,-2,4,subtraction
50 - 21 =,29,36,22,2,subtraction
19 - 18 =,1,7,-5,2,subtraction
16 ÷ 2 =,8,15,1,4,division
27 + 32 =,59,68,50,4,addition
33 + 57 =,90,100,80,2,addition
48 ÷ 4 =,12,21,3,4,division
90 ÷ 9 =,10,20,0,2,division
63 - 34 =,29,32,26,2,subtraction
47 - 0 =,47,57,37,3,subtraction
67 + 92 =,159,165,153,2,addition
8 ÷ 1 =,8,18,-2,3,division
99 - 47 =,52,62,42,2,subtraction
70 - 59 =,11,15,7,2,subtraction
83 + 1 =,84,90,78,4,addition
85 + 10 =,95,104,86,3,addition
2 + 70 =,72,80,64,4,addition
90 ÷ 9 =,10,17,3,2,division
43 - 26 =,17,23,11,2,subtraction
96 + 94 =,190,199,181,2,addition
48 - 18 =,30,38,22,4,subtraction
37 + 33 =,70,75,65,3,addition
89 - 22 =,67,74,60,3,subtraction
72 - 29 =,43,51,35,4,subtraction
31 + 44 =,75,78,72,2,addition
34 + 53 =,87,95,79,2,addition
20 + 96 =,116,119,113,3,addition
83 + 65 =,148,154,142,4,addition
58 - 6 =,52,62,42,4,subtraction
48 + 54 =,102,110,94,4,addition
87 - 60 =,27,34,20,4,subtraction
53 + 85 =,138,147,129,4,addition
12 ÷ 12 =,1,9,-7,4,division
27 ÷ 9 =,3,10,-4,3,division
84 - 3 =,81,89,73,3,subtraction
95 - 84 =,11,16,6,3,subtraction
24 ÷ 8 =,3,10,-4,3,division
44 + 98 =,142,151,133,2,addition
55 + 100 =,155,160,150,2,addition
40 ÷ 10 =,4,8,0,3,division
57 - 18 =,39,46,32,2,subtraction
89 - 76 =,13,22,4,3,subtraction
81 + 86 =,167,171,163,4,addition
8 × 5 =,40,47,33,3,multiplication
65 - 47 =,18,24,12,2,subtraction
53 + 54 =,107,111,103,2,addition
16 ÷ 2 =,8,13,3,3,division
39 + 61 =,100,105,95,2,addition
4 × 6 =,24,31,17,4,multiplication
45 ÷ 5 =,9,19,-1,3,division
40 - 23 =,17,26,8,3,subtraction
33 + 92 =,125,133,117,3,addition
8 ÷ 2 =,4,12,-4,4,division
40 - 24 =,16,25,7,3,subtraction
99 + 27 =,126,132,120,4,addition
59 - 47 =,12,17,7,3,subtraction
88 ÷ 8 =,11,20,2,4,division
144 ÷ 12 =,12,16,8,3,division
97 + 64 =,161,164,158,2,addition
86 - 51 =,35,44,26,4,subtraction
61 - 0 =,61,67,55,3,subtraction
69 + 70 =,139,146,132,4,addition
61 - 55 =,6,16,-4,4,subtraction
5 ÷ 1 =,5,15,-5,2,division
51 - 37 =,14,19,9,2,subtraction
56 - 26 =,30,33,27,4,subtraction
34 + 73 =,107,112,102,3,addition
43 + 40 =,83,89,77,2,addition
7 × 3 =,21,27,15,2,multiplication
98 - 3 =,95,103,87,2,subtraction
17 + 42 =,59,68,50,4,addition
3 × 2 =,6,13,-1,2,multiplication
76 + 69 =,145,151,139,3,addition
33 - 9 =,24,31,17,4,subtraction
48 ÷ 4 =,12,15,9,4,division
14 + 26 =,40,49,31,2,addition
99 + 0 =,99,106,92,2,addition
93 - 78 =,15,24,6,2,subtraction
64 + 49 =,113,117,109,4,addition
90 ÷ 9 =,10,14,6,3,division
62 - 33 =,29,34,24,4,subtraction
13 + 71 =,84,93,75,4,addition
27 + 65 =,92,99,85,4,addition
55 - 0 =,55,59,51,3,subtraction
99 ÷ 9 =,11,15,7,2,division
10 ÷ 2 =,5,12,-2,3,division
39 + 74 =,113,119,107,2,addition
10 + 89 =,99,103,95,3,addition
63 + 81 =,144,148,140,2,addition
36 - 36 =,0,5,-5,2,subtraction
58 - 41 =,17,27,7,4,subtraction
35 + 39 =,74,78,70,3,addition
24 ÷ 12 =,2,9,-5,2,division
48 + 68 =,116,123,109,3,addition
1 + 66 =,67,72,62,4,addition
72 - 6 =,66,76,56,2,subtraction
82 - 9 =,73,78,68,3,subtraction
81 - 32 =,49,55,43,2,subtraction
8 - 0 =,8,17,-1,2,subtraction
48 - 43 =,5,12,-2,4,subtraction
70 ÷ 10 =,7,14,0,3,division
60 ÷ 5 =,12,15,9,4,division
83 + 32 =,115,124,106,4,addition
91 + 6 =,97,101,93,4,addition
15 + 90 =,105,114,96,3,addition
10 + 32 =,42,45,39,2,addition
8 × 1 =,8,14,2,2,multiplication
10 + 21 =,31,34,28,3,addition
49 + 74 =,123,130,116,3,addition
53 - 9 =,44,48,40,4,subtraction
68 + 3 =,71,80,62,3,addition
33 ÷ 11 =,3,12,-6,3,division
9 × 6 =,54,58,50,2,multiplication
93 - 80 =,13,17,9,2,subtraction
7 × 10 =,70,79,61,3,multiplication
120 ÷ 12 =,10,16,4,2,division
93 - 14 =,79,89,69,4,subtraction
65 - 17 =,48,55,41,4,subtraction
82 + 96 =,178,181,175,4,addition
3 ÷ 3 =,1,4,-2,3,division
38 + 78 =,116,126,106,4,addition
79 + 36 =,115,122,108,4,addition
97 + 2 =,99,109,89,3,addition
699 + 208 =,907,927,887,6,addition
718 + 351 =,1069.92,1069.79,1069.74,6,addition
99 × 12 =,1192.8,1192.76,1192.93,5,multiplication
737 - 933 =,-196.17,-196.31,-196.36,6,subtraction
796 - 233 =,563,577,549,6,subtraction
64 - 10 =,53.19,53.2,53.07,5,subtraction
436 × 958 =,417688,417703,417673,6,multiplication
182 × 401 =,72982,73000,72964,5,multiplication
95 × 12 =,1150.68,1150.72,1150.78,5,multiplication
492 - 83 =,409,420,398,6,subtraction
83 + 30 =,114.14,114.31,113.99,5,addition
74 + 28 =,103.2,103.32,103.03,5,addition
42 ÷ 6 =,7,21,-7,6,division
1 × 4 =,4.4,4.58,4.36,5,multiplication
686 ÷ 20 =,34.3,34.4,34.31,6,division
635 - 299 =,336.59,336.43,336.52,6,subtraction
567 - 162 =,405,416,394,5,subtraction
427 + 349 =,776,795,757,6,addition
625 × 455 =,284375,284386,284364,5,multiplication
30 ÷ 3 =,10,24,-4,6,division
321 + 808 =,1130.57,1130.74,1130.71,6,addition
96 ÷ 12 =,8,13,3,6,division
8 × 19 =,159.22,159.11,158.22,5,multiplication
641 + 665 =,1306,1320,1292,5,addition
10 × 4 =,40.88,40.83,40.69,5,multiplication
865 - 440 =,425,437,413,6,subtraction
877 - 888 =,-10.62,-10.51,-10.52,6,subtraction
499 + 791 =,1290.41,1290.32,1290.39,6,addition
1053 ÷ 15 =,70.23,70.14,70.28,6,division
50 × 14 =,702.38,702.21,702.58,6,multiplication
4 × 108 =,432,450,414,6,multiplication
40 × 17 =,684.59,684.43,684.6,5,multiplication
80 ÷ 8 =,10,30,-10,6,division
72 ÷ 6 =,12,23,1,6,division
701 + 755 =,1456,1476,1436,5,addition
57 + 24 =,82.01,81.86,82.13,5,addition
68 × 18 =,1236.06,1236.19,1236.21,6,multiplication
686 ÷ 17 =,40.38,40.5,40.5,5,division
7 - 30 =,-23.23,-23.41,-23.09,5,subtraction
865 - 171 =,694,706,682,6,subtraction
763 - 141 =,622,641,603,5,subtraction
411 ÷ 18 =,22.87,22.85,22.98,5,division
48 × 15 =,734.85,735.03,734.71,5,multiplication
888 - 811 =,77,97,57,6,subtraction
667 + 677 =,1344,1358,1330,6,addition
628 + 404 =,1032,1040,1024,5,addition
703 + 582 =,1286.38,1287.38,1286.41,6,addition
24 - 93 =,-68.61,-68.68,-68.52,6,subtraction
183 ÷ 5 =,36.62,36.61,36.5,5,division
95 - 20 =,75.14,75.11,75.23,5,subtraction
331 × 285 =,94335,94353,94317,5,multiplication
174 ÷ 3 =,58.08,57.88,57.95,6,division
996 + 431 =,1427,1435,1419,6,addition
234 ÷ 12 =,19.51,19.57,19.7,6,division
16 ÷ 8 =,2,13,-9,5,division
121 ÷ 11 =,11,26,-4,5,division
89 × 14 =,1257.76,1257.62,1257.86,5,multiplication
1786 ÷ 20 =,89.3,89.22,89.24,6,division
261 - 855 =,-594.6,-594.7,-594.42,6,subtraction
782 ÷ 19 =,41.17,41.25,40.97,6,division
72 ÷ 8 =,9,24,-6,6,division
10 ÷ 10 =,1,9,-7,5,division
956 × 715 =,683540,683554,683526,5,multiplication
669 ÷ 8 =,83.71,83.8,83.68,6,division
785 × 345 =,270825,270844,270806,6,multiplication
158 ÷ 13 =,12.21,12.39,12.31,5,division
793 - 578 =,215,225,205,5,subtraction
728 - 508 =,220.26,220.38,220.19,6,subtraction
71 × 10 =,712.2,712.05,712.37,5,multiplication
232 ÷ 8 =,29.05,29.11,28.97,6,division
59 + 49 =,108.75,108.74,108.85,5,addition
522 + 326 =,848.27,848.17,848.2,6,addition
380 + 59 =,439,458,420,5,addition
605 - 519 =,86,93,79,5,subtraction
559 + 953 =,1512,1521,1503,5,addition
551 - 147 =,403.53,403.45,403.68,6,subtraction
55 × 15 =,836.85,836.84,835.85,6,multiplication
732 ÷ 15 =,48.86,48.85,48.9,5,division
646 × 245 =,158270,158280,158260,5,multiplication
37 × 8 =,298.56,298.46,298.62,6,multiplication
571 + 861 =,1432,1443,1421,5,addition
581 + 54 =,635,655,615,6,addition
8 ÷ 4 =,2,14,-10,6,division
96 × 811 =,77856,77873,77839,6,multiplication
44 × 14 =,628.6,628.75,628.7,5,multiplication
13 - 97 =,-84.24,-84.27,-84.37,5,subtraction
965 - 376 =,589,607,571,6,subtraction
12 ÷ 6 =,2,10,-6,5,division
54 + 952 =,1006,1012,1000,5,addition
236 ÷ 12 =,19.7,19.8,19.72,5,division
927 - 139 =,788,797,779,6,subtraction
762 - 25 =,737,742,732,6,subtraction
810 - 594 =,216.56,216.74,216.7,6,subtraction
415 - 91 =,324,330,318,5,subtraction
59 + 83 =,142.17,142.04,142.28,5,addition
32 × 18 =,580.5,580.48,580.33,5,multiplication
183 ÷ 3 =,61.06,61.02,61.05,5,division
953 - 633 =,320,327,313,6,subtraction
369 ÷ 9 =,41.1,41.28,41.27,5,division
673 + 965 =,1638.25,1638.27,1638.15,6,addition
68 × 9 =,612.81,612.98,612.89,5,multiplication
36 ÷ 4 =,9,23,-5,6,division
701 - 532 =,169,189,149,6,subtraction
1025 ÷ 16 =,64.1,63.93,64.13,5,division
53 + 33 =,86.74,86.87,86.88,5,addition
273 + 310 =,583,602,564,6,addition
196 - 52 =,143.22,143.06,143.07,6,subtraction
265 ÷ 5 =,53.02,53.19,52.88,6,division
16 ÷ 8 =,2,7,-3,6,division
390 + 219 =,609,618,600,5,addition
820 - 498 =,322,339,305,6,subtraction
14 + 81 =,96.15,96.11,96.05,5,addition
555 + 137 =,692.38,692.34,692.45,6,addition
44 ÷ 11 =,4,14,-6,5,division
7 × 13 =,102.57,102.66,102.4,5,multiplication
855 × 967 =,826785,826799,826771,5,multiplication
388 - 239 =,148.32,148.44,148.45,6,subtraction
85 × 19 =,1623.36,1623.42,1623.54,6,multiplication
88 - 17 =,71.15,71.12,71.16,5,subtraction
394 + 90 =,484,493,475,6,addition
694 - 293 =,401,413,389,5,subtraction
7 × 16 =,119.2,120.2,119.3,6,multiplication
679 ÷ 7 =,97.02,97.17,97.22,5,division
780 × 686 =,535080,535085,535075,6,multiplication
77 × 12 =,934.44,934.54,934.49,6,multiplication
672 - 492 =,180,196,164,6,subtraction
101 + 43 =,144,156,132,6,addition
759 ÷ 11 =,69.07,69.26,68.95,6,division
241 ÷ 8 =,30.2,30.1,30.21,6,division
438 - 922 =,-483.77,-483.88,-483.68,6,subtraction
289 + 560 =,849,856,842,5,addition
441 - 423 =,17.31,17.16,17.42,6,subtraction
359 ÷ 11 =,32.64,32.7,32.54,5,division
353 ÷ 7 =,50.43,50.46,49.43,6,division
580 ÷ 10 =,58.03,57.93,58.2,6,division
510 - 459 =,51,50.93,51.15,6,subtraction
12 ÷ 1 =,12,32,-8,6,division
929 - 114 =,815,829,801,6,subtraction
40 ÷ 5 =,8,22,-6,6,division
234 - 56 =,178,183,173,5,subtraction
40 × 9 =,364.05,364.24,363.94,5,multiplication
286 ÷ 7 =,40.86,40.99,40.71,6,division
273 ÷ 16 =,17.12,17.11,17,6,division
141 × 760 =,107160,107173,107147,5,multiplication
78 + 91 =,169.57,169.49,169.7,5,addition
523 + 327 =,850,865,835,6,addition
43 × 10 =,436.7,436.52,436.59,6,multiplication
547 - 155 =,392,401,383,5,subtraction
27 ÷ 9 =,3,22,-16,6,division
8 ÷ 8 =,1,19,-17,6,division
99 ÷ 9 =,11,28,-6,5,division
609 + 820 =,1429.15,1429.17,1429.07,6,addition
50 ÷ 10 =,5,20,-10,6,division
1740 ÷ 20 =,87.03,86.96,86.98,6,division
830 ÷ 11 =,75.52,76.52,75.6,5,division
87 - 26 =,61.6,61.74,61.45,5,subtraction
7 ÷ 7 =,1,21,-19,5,division
59 × 12 =,719.76,719.73,719.72,6,multiplication
74 + 94 =,169.24,169.32,169.35,5,addition
94 + 74 =,168.77,168.87,168.65,5,addition
1089 ÷ 12 =,90.76,90.82,90.86,6,division
742 - 158 =,584.51,584.48,584.4,6,subtraction
993 × 535 =,531255,531274,531236,6,multiplication
225 - 807 =,-582.63,-582.73,-582.66,6,subtraction
852 + 971 =,1823,1829,1817,6,addition
52 + 7 =,60.56,60.72,60.37,5,addition
910 - 86 =,823.95,824.05,823.94,6,subtraction
12 ÷ 1 =,12,25,-1,6,division
74 + 98 =,173,172.82,172.97,5,addition
542 + 138 =,681.41,681.27,681.59,6,addition
975 × 256 =,249600,249620,249580,5,multiplication
177 + 208 =,385,391,379,6,addition
30 - 9 =,21.19,21.33,21.31,5,subtraction
72 + 188 =,261.16,261.26,261.22,6,addition
35 ÷ 7 =,5,13,-3,6,division
995 × 96 =,95520,95525,95515,5,multiplication
892 × 163 =,145396,145401,145391,5,multiplication
677 + 488 =,1165.28,1165.23,1165.42,6,addition
539 + 530 =,1069,1081,1057,5,addition
17 + 18 =,36.24,36.39,36.13,5,addition
283 + 719 =,1002.11,1002.14,1001.93,6,addition
12 ÷ 3 =,4,24,-16,6,division
14 ÷ 7 =,2,13,-9,6,division
631 - 59 =,572,590,554,5,subtraction
129 × 906 =,116874,116886,116862,6,multiplication
661 + 375 =,1036,1043,1029,6,addition
82 × 1 =,82.78,82.58,82.89,6,multiplication
75 × 16 =,1211.52,1211.54,1211.63,6,multiplication
42 ÷ 6 =,7,23,-9,5,division
591 × 943 =,557313,557322,557304,6,multiplication
14 - 17 =,-2.79,-2.87,-2.98,5,subtraction
56 × 20 =,1138.2,1138.12,1138.38,5,multiplication
47 - 171 =,-123.7,-123.63,-123.66,6,subtraction
668 - 370 =,297.92,298.05,298.08,6,subtraction
20 ÷ 2 =,10,19,1,5,division
37 + 254 =,291,305,277,6,addition
12 × 10 =,128.2,128.06,128.31,6,multiplication
847 - 302 =,545.05,544.92,545.02,6,subtraction
875 ÷ 11 =,79.58,79.68,79.52,6,division
505 + 710 =,1215.96,1215.8,1216.04,6,addition
119 ÷ 2 =,59.73,59.79,59.85,6,division
746 + 113 =,859,872,846,6,addition
934 - 754 =,180.11,180.1,180.24,6,subtraction
980 - 637 =,343,355,331,5,subtraction
4 ÷ 1 =,4,13,-5,5,division
7 ÷ 1 =,7,14,0,5,division
3 ÷ 1 =,3,19,-13,6,division
290 - 67 =,223,228,218,6,subtraction
70 × 15 =,1056,1055.84,1055.91,5,multiplication
965 - 949 =,16,32,0,6,subtraction
35 ÷ 7 =,5,21,-11,5,division
31 × 2 =,63.64,63.47,63.7,6,multiplication
66 - 64 =,1.18,1.34,1.22,5,subtraction
64 ÷ 8 =,8,18,-2,5,division
481 + 366 =,847,852,842,5,addition
20 ÷ 2 =,10,21,-1,5,division
903 - 319 =,584,591,577,6,subtraction
4 ÷ 2 =,2,8,-4,6,division
754 + 940 =,1694,1710,1678,5,addition
60 + 1 =,61.56,61.63,61.62,5,addition
10 ÷ 10 =,1,11,-9,5,division
48 × 13 =,624.91,624.88,625.01,6,multiplication
71 - 4 =,67.82,67.81,67.87,5,subtraction
20 ÷ 4 =,5,19,-9,6,division
70 ÷ 9 =,7.86,7.79,7.68,6,division
969 - 524 =,445,452,438,5,subtraction
349 + 573 =,922,935,909,5,addition
376 + 780 =,1157.58,1157.49,1157.41,6,addition
796 - 611 =,185,197,173,5,subtraction
507 + 791 =,1298,1305,1291,5,addition
641 + 823 =,1464,1477,1451,6,addition
194 ÷ 12 =,16.22,16.32,16.09,6,division
739 + 40 =,779,798,760,5,addition
66 + 77 =,143.95,143.98,143.75,5,addition
443 × 524 =,232132,232152,232112,6,multiplication
9 ÷ 1 =,9,14,4,5,division
995 × 19 =,18905,18925,18885,5,multiplication
927 ÷ 20 =,46.35,46.38,46.25,6,division
709 - 471 =,238,254,222,6,subtraction
182 - 524 =,-341.24,-341.1,-341.21,6,subtraction
568 + 970 =,1538,1547,1529,5,addition
781 - 95 =,686,698,674,5,subtraction
728 + 733 =,1461,1476,1446,6,addition
37 + 55 =,92.83,92.8,91.83,5,addition
394 + 185 =,579.56,579.43,579.43,6,addition
30 × 17 =,516.63,516.49,515.63,5,multiplication
14 + 78 =,93.48,93.62,93.46,5,addition
59 + 87 =,146.82,146.65,146.77,5,addition
459 + 898 =,1357,1372,1342,6,addition
59 × 500 =,29500,29519,29481,6,multiplication
118 ÷ 6 =,19.8,19.66,19.75,6,division
95 × 17 =,1626.56,1626.69,1626.42,5,multiplication
848 × 862 =,730976,730984,730968,5,multiplication
703 + 369 =,1072,1085,1059,6,addition
56 ÷ 7 =,8,24,-8,5,division
136 - 195 =,-59.14,-59.32,-59.28,6,subtraction
116 ÷ 5 =,23.23,23.05,23.24,6,division
994 - 746 =,248,260,236,5,subtraction
15 - 44 =,-28.84,-28.8,-28.97,5,subtraction
3 + 64 =,68.68,68.76,68.79,5,addition
892 × 345 =,307740,307753,307727,5,multiplication
297 - 516 =,-219.42,-219.29,-219.61,6,subtraction
172 + 774 =,946,960,932,6,addition
506 + 173 =,679.45,679.37,679.31,6,addition
51 × 3 =,155.46,155.64,155.29,5,multiplication
142 - 937 =,-795.28,-795.3,-796.28,6,subtraction
734 - 444 =,290,302,278,6,subtraction
685 × 211 =,144535,144549,144521,6,multiplication
31 - 29 =,1.54,1.62,1.6,5,subtraction
92 - 17 =,75.78,75.72,74.78,5,subtraction
82 - 836 =,-753.56,-753.74,-753.7,6,subtraction
22 × 5 =,111.85,111.78,111.92,6,multiplication
98 - 64 =,34.49,34.33,34.51,5,subtraction
88 × 8 =,711.2,711.11,711.27,6,multiplication
541 - 40 =,500.87,501,500.96,6,subtraction
212 ÷ 14 =,15.16,14.98,15.15,5,division
45 + 420 =,465,477,453,6,addition
8 - 30 =,-22.11,-22.04,-22.14,5,subtraction
187 - 106 =,81,87,75,5,subtraction
12 × 4 =,49.8,49.69,49.61,6,multiplication
20 ÷ 10 =,2,20,-16,6,division
853 + 914 =,1768.19,1768.26,1768.38,6,addition
1 ÷ 1 =,1,15,-13,5,division
682 - 299 =,383,400,366,5,subtraction
155 × 75 =,11625,11642,11608,6,multiplication
37 + 86 =,123.5,123.63,123.45,5,addition
680 × 124 =,84320,84336,84304,5,multiplication
9 ÷ 9 =,1,16,-14,6,division
632 + 155 =,787.59,787.55,787.62,6,addition
1313 ÷ 19 =,69.13,69.07,68.99,6,division
618 × 682 =,421476,421484,421468,5,multiplication
986 - 745 =,241,261,221,5,subtraction
63 + 66 =,130.61,130.53,130.46,5,addition
41 × 8 =,335.52,335.43,335.7,5,multiplication
3 × 11 =,34.1,34.02,33.95,5,multiplication
278 ÷ 5 =,55.69,55.49,55.8,6,division
79 × 11 =,878.9,878.75,879.04,5,multiplication
699 - 136 =,563,576,550,5,subtraction
36 ÷ 4 =,9,19,-1,5,division
437 + 127 =,564,571,557,6,addition
257 × 670 =,172190,172195,172185,5,multiplication
267 + 955 =,1222,1234,1210,5,addition
12 ÷ 9 =,1.34,1.47,1.44,5,division
703 - 218 =,485.4,485.27,485.57,6,subtraction
82 × 1 =,82.29,82.22,82.43,5,multiplication
236 ÷ 12 =,19.71,19.57,19.62,5,division
232 ÷ 9 =,25.84,25.99,25.86,6,division
73 + 338 =,411,429,393,6,addition
272 + 30 =,302,311,293,6,addition
404 × 461 =,186244,186261,186227,6,multiplication
651 ÷ 14 =,46.54,46.41,45.54,5,division
18 ÷ 9 =,2,21,-17,5,division
862 - 730 =,132,138,126,5,subtraction
39 × 17 =,672.86,672.83,672.76,6,multiplication
24 ÷ 3 =,8,18,-2,5,division
146 + 667 =,813.28,813.47,813.18,6,addition
356 - 347 =,9,16,2,5,subtraction
903 + 120 =,1023,1038,1008,6,addition
65 × 14 =,921.2,921.02,921.15,5,multiplication
740 - 411 =,329,340,318,6,subtraction
112 - 861 =,-749.27,-749.24,-749.15,6,subtraction
401 × 981 =,393381,393388,393374,5,multiplication
2 ÷ 2 =,1,20,-18,5,division
89 × 16 =,1428.8,1428.92,1428.68,5,multiplication
71 + 564 =,636.37,636.39,636.5,6,addition
742 - 736 =,5.43,5.48,5.32,6,subtraction
698 - 567 =,131,149,113,5,subtraction
74 + 39 =,114.28,114.4,114.44,5,addition
24 ÷ 8 =,3,14,-8,6,division
23 + 8 =,32.24,32.31,32.08,5,addition
55 ÷ 11 =,5,16,-6,5,division
752 ÷ 14 =,53.75,53.58,53.86,6,division
40 × 795 =,31800,31816,31784,6,multiplication
25 ÷ 5 =,5,25,-15,6,division
591 + 417 =,1008.96,1008.77,1009.09,6,addition
242 × 664 =,160688,160704,160672,5,multiplication
554 × 51 =,28254,28272,28236,6,multiplication
522 ÷ 6 =,87.13,86.99,87.24,6,division
330 + 655 =,985,994,976,5,addition
6 ÷ 2 =,3,13,-7,6,division
286 - 219 =,67,80,54,6,subtraction
226 + 757 =,983.8,983.97,983.98,6,addition
94 - 83 =,10.81,10.92,10.78,5,subtraction
48 ÷ 4 =,12,28,-4,6,division
892 × 208 =,185536,185549,185523,5,multiplication
16 + 95 =,112.41,112.4,112.26,5,addition
98 × 10 =,987.4,987.52,987.58,6,multiplication
87 × 20 =,1754.8,1754.76,1754.85,6,multiplication
580 ÷ 14 =,41.43,41.47,41.26,5,division
214 + 694 =,908,916,900,5,addition
906 × 438 =,396828,396845,396811,5,multiplication
841 × 936 =,787176,787185,787167,5,multiplication
97 × 4 =,391,392,391.12,5,multiplication
247 ÷ 3 =,82.44,82.26,82.3,6,division
227 + 609 =,836.09,836.24,835.96,6,addition
1 × 16 =,24.16,24.03,24.14,5,multiplication
334 + 827 =,1162.72,1162.82,1162.73,6,addition
219 - 864 =,-644.83,-644.87,-644.84,6,subtraction
1594 ÷ 17 =,93.77,93.81,93.6,5,division
560 + 849 =,1409,1425,1393,5,addition
426 + 577 =,1004.42,1004.52,1004.3,6,addition
54 × 14 =,759.22,759.31,759.33,5,multiplication
743 ÷ 17 =,43.75,43.69,43.62,5,division
641 + 980 =,1621,1630,1612,6,addition
99 ÷ 11 =,9,25,-7,6,division
6 + 78 =,85.05,85.14,84.86,5,addition
926 × 885 =,819510,819524,819496,5,multiplication
426 ÷ 7 =,60.88,60.82,61.06,6,division
575 × 651 =,374325,374330,374320,6,multiplication
27 × 17 =,461.38,461.43,461.19,5,multiplication
5 × 6 =,34.56,34.71,34.58,5,multiplication
515 + 829 =,1344.58,1344.49,1344.6,6,addition
38 × 2 =,77.52,77.47,77.43,6,multiplication
916 + 202 =,1118,1137,1099,6,addition
148 + 60 =,208,227,189,6,addition
30 × 10 =,306.2,306.17,306.25,5,multiplication
43 - 73 =,-29.87,-29.88,-29.71,5,subtraction
26 - 1 =,25.72,25.87,25.77,5,subtraction
320 + 652 =,972.4,972.55,972.53,6,addition
979 × 468 =,458172,458183,458161,6,multiplication
448 + 174 =,622,639,605,5,addition
443 + 841 =,1284,1294,1274,5,addition
191 - 671 =,-480.12,-480.29,-480.04,6,subtraction
601 × 204 =,122604,122609,122599,6,multiplication
48 ÷ 6 =,8,20,-4,5,division
60 ÷ 6 =,10,15,5,5,division
38 × 10 =,385.4,385.42,385.54,6,multiplication
71 × 7 =,501.48,501.34,501.61,6,multiplication
18 × 792 =,14256,14271,14241,6,multiplication
43 - 20 =,23.62,23.6,23.72,5,subtraction
292 + 432 =,724,742,706,5,addition
10 - 80 =,-70.06,-69.88,-69.89,5,subtraction
152 × 79 =,12008,12015,12001,6,multiplication
405 × 874 =,353970,353977,353963,5,multiplication
12 × 19 =,242.06,242.19,241.95,5,multiplication
655 + 173 =,828,839,817,5,addition
16 + 27 =,44.2,44.07,44.03,5,addition
518 + 628 =,1146,1165,1127,6,addition
70 + 408 =,478.19,478.12,478.05,6,addition
8 + 12 =,21.18,21.01,20.18,5,addition
322 × 823 =,265006,265023,264989,5,multiplication
592 - 427 =,165,172,158,6,subtraction
78 ÷ 4 =,19.69,19.62,19.78,5,division
393 - 633 =,-239.76,-239.8,-239.68,6,subtraction
179 + 237 =,416.78,416.89,416.69,6,addition
19 × 17 =,326.57,327.57,326.71,5,multiplication
79 + 15 =,95.17,95.06,95.16,5,addition
80 ÷ 8 =,10,28,-8,5,division
28 ÷ 7 =,4,13,-5,6,division
